citation_id,title,authors,year,doi,decision,reasoning,model,screened_at
164,+49A/G polymorphism of cytotoxic T-lymphocyte antigen 4 gene in type 1 autoimmune hepatitis and primary biliary cirrhosis: A meta-analysis.,,,10.1111/j.1872-034X.2010.00757.x,include,"Let me evaluate this citation systematically against the inclusion and exclusion criteria:

**Checking Inclusion Criteria:**

1. **Original research articles**: The title indicates this is a ""meta-analysis,"" which is a systematic synthesis of multiple studies. This needs careful consideration.

2. **Studies examining expression, function, or genetic variants of checkpoint receptors**: YES - The study examines the +49A/G polymorphism of CTLA-4 (cytotoxic T-lymphocyte antigen 4), which is one of the specified checkpoint receptors.

3. **Studies in patients with autoimmune hepatitis**: YES - The title explicitly mentions ""type 1 autoimmune hepatitis.""

4. **Studies comparing AIH to healthy controls or other liver disease controls**: Likely YES - Meta-analyses typically include such comparisons, though this cannot be confirmed without the abstract.

5. **Published in English**: Cannot confirm, but title is in English.

**Checking Exclusion Criteria:**

1. **Conference abstracts without full text**: Cannot determine from the information provided.

2. **Review articles, editorials, commentaries, letters without original data**: POTENTIAL ISSUE - This is a meta-analysis. Meta-analyses are typically considered secondary research that synthesizes original data from multiple studies. However, meta-analyses do contain original statistical analyses and are often considered valuable evidence. The exclusion criterion specifically mentions ""review articles"" and ""without original data.""

3. **Case reports with fewer than 3 patients**: Not applicable.

4. **Studies exclusively on checkpoint inhibitor drug-induced liver injury**: NO - This is about genetic polymorphisms, not drug-induced injury.

5. **Studies on PBC or PSC without AIH comparison**: The title mentions both AIH and PBC, so AIH is included.

**Key Consideration:**
The main question is whether a meta-analysis should be excluded as a ""review article."" Meta-analyses are systematic reviews with quantitative synthesis, and while they don't generate primary data, they provide original statistical analyses of pooled data. The protocol's exclusion of ""review articles"" likely refers to narrative reviews rather than systematic reviews/meta-analyses, which are considered high-quality evidence. Given the instruction to ""lean towards INCLUDE to avoid missing potentially relevant studies,"" and that this meta-analysis directly addresses CTLA-4 genetic variants in AIH (a core topic of the review), inclusion seems appropriate.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T07:22:54.316395
311,A Potential New Use for Tocilizumab: Refractory Checkpoint Inhibitor Hepatitis.,,,10.14309/crj.0000000000001162,exclude,"1. **Document Type Assessment**: The title suggests this is likely a case report or case series about using tocilizumab (an IL-6 receptor antagonist) for checkpoint inhibitor-induced hepatitis.

2. **Topic Relevance**:
   - The study is about ""checkpoint inhibitor hepatitis"" which refers to drug-induced liver injury from immune checkpoint inhibitor therapy (ICI-DILI)
   - This is NOT about autoimmune hepatitis (AIH) as a primary disease entity
   - The focus appears to be on treatment of ICI-DILI rather than the pathogenesis of AIH

3. **Exclusion Criteria Application**:
   - **Exclusion Criterion #4** specifically states: ""Studies exclusively on checkpoint inhibitor drug-induced liver injury (ICI-DILI)"" should be excluded
   - This citation appears to fall directly under this exclusion criterion
   - The title indicates this is about ""checkpoint inhibitor hepatitis"" (ICI-DILI), not autoimmune hepatitis

4. **Inclusion Criteria Assessment**:
   - The study does not appear to examine AIH patients or AIH animal models (Criterion #3)
   - It does not appear to compare AIH to controls (Criterion #4)
   - While it mentions checkpoint inhibitors, it's about adverse effects of checkpoint inhibitor drugs, not about the role of checkpoint receptors in AIH pathogenesis

5. **Abstract Availability**: No abstract is available, but the title is sufficiently clear to indicate this is about ICI-DILI treatment, not AIH pathogenesis.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T07:23:03.097116
155,A case with hepatic immune-related adverse events caused by nivolumab exhibiting impaired accumulation of regulatory T cells.,,,10.1007/s12328-020-01317-y,exclude,"Let me evaluate this citation systematically against the inclusion and exclusion criteria:

1. **Publication type**: The title indicates this is ""A case with..."" which suggests this is a case report. According to exclusion criterion #3, case reports with fewer than 3 patients are excluded.

2. **Subject matter**: The title clearly indicates this is about ""hepatic immune-related adverse events caused by nivolumab."" Nivolumab is a checkpoint inhibitor drug (anti-PD-1 therapy), and the study is specifically about drug-induced liver injury from this checkpoint inhibitor.

3. **Exclusion criterion #4**: Studies exclusively on checkpoint inhibitor drug-induced liver injury (ICI-DILI) are explicitly excluded. This case appears to be exactly that - a case of liver injury caused by nivolumab (a checkpoint inhibitor).

4. **Autoimmune hepatitis focus**: The title does not mention autoimmune hepatitis (AIH). While immune-related adverse events from checkpoint inhibitors can sometimes mimic AIH, this appears to be specifically about drug-induced hepatotoxicity, not primary AIH.

5. **Abstract availability**: No abstract is available, but the title is sufficiently clear to make a determination.

The study appears to meet two exclusion criteria:
- It is a case report (likely fewer than 3 patients based on ""A case"" in the title)
- It is exclusively about checkpoint inhibitor drug-induced liver injury (ICI-DILI)",anthropic/claude-sonnet-4-5-20250929,2026-01-28T07:23:11.169668
159,A different type of acute myocarditis: a case report of acute autoimmune myocarditis mediated by anti-PD-1 T lymphocyte receptor (pembrolizumab).,,,10.1093/ehjcr/ytaa214,exclude,"1. **Study Type Assessment**: The title indicates this is a ""case report"" of a single patient with acute autoimmune myocarditis.

2. **Topic Relevance**: The study is about myocarditis (heart inflammation), not autoimmune hepatitis (liver inflammation). The focus is on cardiac complications, not liver disease.

3. **Checkpoint Inhibitor Context**: The study involves pembrolizumab (anti-PD-1 therapy), which is a checkpoint inhibitor drug. The title suggests this is about drug-induced myocarditis from checkpoint inhibitor therapy.

4. **Application of Exclusion Criteria**:
   - **Exclusion Criterion #3**: ""Case reports with fewer than 3 patients"" - This appears to be a single case report, which would be excluded.
   - **Exclusion Criterion #4**: ""Studies exclusively on checkpoint inhibitor drug-induced liver injury (ICI-DILI)"" - While this criterion specifically mentions liver injury, the spirit of this exclusion is to exclude drug-induced autoimmune conditions from checkpoint inhibitor therapy rather than studies about the pathogenesis of primary autoimmune hepatitis. This case is about drug-induced myocarditis (heart), not liver disease at all.

5. **Application of Inclusion Criteria**:
   - **Criterion #3**: ""Studies in patients with autoimmune hepatitis or animal models of AIH"" - This study is about myocarditis, not hepatitis. It does not meet this fundamental inclusion criterion.

6. **Relevance to Review Objective**: The review is specifically about checkpoint receptors in the pathogenesis of autoimmune hepatitis. This case report is about a cardiac complication from checkpoint inhibitor therapy and does not address AIH.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T07:23:20.730181
170,A multireferral centre retrospective cohort analysis on the experience in treatment of metastatic uveal melanoma and utilization of sequential  liver-directed treatment and immunotherapy.,,,10.1097/CMR.0000000000000343,exclude,"1. **Study Topic Assessment**: The title clearly indicates this study is about metastatic uveal melanoma (a type of eye cancer) and its treatment with liver-directed therapy and immunotherapy.

2. **Relevance to Review Objective**: The systematic review is focused on inhibitory checkpoint receptors in autoimmune hepatitis (AIH). This citation is about:
   - Cancer (uveal melanoma), not autoimmune hepatitis
   - Cancer treatment with immunotherapy, not the pathogenesis or treatment of AIH
   - Liver-directed treatment for metastatic disease, not autoimmune liver disease

3. **Disease Condition Mismatch**:
   - Target condition: Autoimmune hepatitis (AIH)
   - Citation condition: Metastatic uveal melanoma with liver metastases
   - These are completely different disease entities

4. **Checkpoint Inhibitor Context**: While the study mentions immunotherapy (which may include checkpoint inhibitors), this appears to be in the context of:
   - Checkpoint inhibitor drugs as cancer treatment
   - Not studying the checkpoint receptors themselves in AIH pathogenesis
   - This would fall under exclusion criterion #4 if it were about drug-induced liver injury, but it's actually about treating cancer

5. **Application of Exclusion Criteria**: This study does not meet the basic inclusion criteria as it:
   - Is not about autoimmune hepatitis
   - Is not examining checkpoint receptors in the context of AIH pathogenesis
   - Studies cancer treatment, not autoimmune liver disease",anthropic/claude-sonnet-4-5-20250929,2026-01-28T07:23:29.437927
210,A murine model of type 2 autoimmune hepatitis: Xenoimmunization with human antigens.,,,10.1002/hep.20109,include,"Let me evaluate this citation systematically against the inclusion and exclusion criteria:

**Analyzing Inclusion Criteria:**

1. **Original research articles (human or animal studies)**: The title indicates this is a study describing ""a murine model,"" which suggests original research in animals. ✓

2. **Studies examining expression, function, or genetic variants of checkpoint receptors**: The abstract is not available, so I cannot confirm whether the study examines any of the specific checkpoint receptors (BTLA, CTLA-4, PD-1, TIGIT, VISTA, LAG-3, or CD200R). However, the title alone does not mention these markers. ?

3. **Studies in patients with AIH or animal models of AIH**: The title explicitly mentions ""type 2 autoimmune hepatitis"" and describes a ""murine model,"" which clearly fits this criterion. ✓

4. **Studies comparing AIH to healthy controls or other liver disease controls**: Cannot determine from title alone. ?

5. **Published in English**: The title is in English, suggesting the article is in English. ✓

**Analyzing Exclusion Criteria:**

1. **Conference abstracts without full text**: Cannot determine from the information provided. ?

2. **Review articles, editorials, commentaries, letters without original data**: The title suggests this is an original research article describing a model, not a review or commentary. ✓ (not excluded)

3. **Case reports with fewer than 3 patients**: This is an animal model study, not a case report. ✓ (not excluded)

4. **Studies exclusively on checkpoint inhibitor drug-induced liver injury**: No indication of this from the title. ✓ (not excluded)

5. **Studies on PBC or PSC without AIH comparison**: The study is specifically about AIH (type 2), not PBC or PSC. ✓ (not excluded)

**Key Considerations:**

- The abstract is not available, making it impossible to confirm whether checkpoint receptors are examined
- The study is clearly about an AIH animal model, which is relevant to the review
- Following the instruction to ""lean towards INCLUDE to avoid missing potentially relevant studies (high sensitivity approach)"" when information is insufficient
- Animal models of AIH are often used to study immune mechanisms, including checkpoint receptors, so there is reasonable potential this study could be relevant",anthropic/claude-sonnet-4-5-20250929,2026-01-28T07:23:40.199428
226,A phase 1b trial of the CXCR4 inhibitor mavorixafor and nivolumab in advanced renal cell carcinoma patients with no prior response to nivolumab monotherapy.,,,10.1007/s10637-020-01058-2,exclude,"1. **Study Type Assessment**: The title indicates this is a phase 1b clinical trial, which would be an original research article if it contains original data.

2. **Disease Focus**: The study is clearly focused on ""advanced renal cell carcinoma"" (kidney cancer), not autoimmune hepatitis (AIH). This is a completely different disease entity.

3. **Checkpoint Receptor Relevance**: While the study does mention nivolumab (which is a PD-1 inhibitor, one of the checkpoint receptors in our inclusion criteria), the study is examining it as a therapeutic agent for cancer, not studying its role in AIH pathogenesis.

4. **Primary Intervention**: The main focus appears to be on CXCR4 inhibitor (mavorixafor) combined with nivolumab for cancer treatment, not investigating checkpoint receptors in the context of autoimmune hepatitis.

5. **Exclusion Criteria Check**:
   - This is not about autoimmune hepatitis or AIH animal models (fails inclusion criterion #3)
   - This is a cancer immunotherapy study, not an autoimmune liver disease study
   - While it involves a checkpoint inhibitor drug, it's being used to treat cancer, not being studied in the context of AIH

6. **Inclusion Criteria Check**: The study fails the fundamental requirement of being related to autoimmune hepatitis (criterion #3).",anthropic/claude-sonnet-4-5-20250929,2026-01-28T07:23:48.370481
259,ACG Clinical Guideline: Diagnosis and Management of Idiosyncratic Drug-Induced Liver Injury.,,,10.14309/ajg.0000000000001259,exclude,"1. **Document Type Assessment**: The title indicates this is a ""Clinical Guideline"" from the American College of Gastroenterology (ACG). Clinical guidelines are typically excluded under the protocol as they are not original research articles but rather synthesized recommendations based on existing evidence.

2. **Topic Relevance**: The guideline focuses on ""Idiosyncratic Drug-Induced Liver Injury"" (DILI), which is distinct from autoimmune hepatitis (AIH). While there can be overlap in clinical presentation, DILI is a separate entity from AIH.

3. **Checkpoint Inhibitor Context**: The exclusion criteria specifically mention ""Studies exclusively on checkpoint inhibitor drug-induced liver injury (ICI-DILI)"" should be excluded. While this guideline appears to be about idiosyncratic DILI broadly (not specifically ICI-DILI), it still focuses on drug-induced liver injury rather than autoimmune hepatitis.

4. **Inclusion Criteria Match**:
   - Not an original research article (fails criterion #1)
   - No indication it examines the specific checkpoint receptors listed (fails criterion #2)
   - Not specifically about AIH patients or animal models (fails criterion #3)

5. **Abstract Availability**: No abstract is available, which would normally suggest caution. However, the title is sufficiently clear that this is a clinical guideline about DILI, not original research on checkpoint receptors in AIH.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T07:23:56.383521
204,Abnormal membrane-bound and soluble programmed death ligand 2 (PD-L2) expression in systemic lupus erythematosus is associated with disease activity.,,,10.1016/j.imlet.2020.09.001,exclude,"1. **Study Population**: The title clearly indicates this study is about systemic lupus erythematosus (SLE), not autoimmune hepatitis (AIH). SLE is a different autoimmune disease that primarily affects multiple organ systems but is not the liver-specific autoimmune condition that is the focus of this review.

2. **Checkpoint Molecule**: The study examines PD-L2 (programmed death ligand 2), which is a ligand for PD-1. While PD-1 is one of the checkpoint receptors listed in the inclusion criteria, the study must also meet the disease criteria.

3. **Disease Relevance**: The inclusion criteria specifically require:
   - Studies in patients with autoimmune hepatitis or animal models of AIH (Criterion 3)
   - Studies comparing AIH to healthy controls or other liver disease controls (Criterion 4)

   This study focuses on SLE, not AIH, and there is no indication in the title that it includes AIH patients or makes any comparison to AIH.

4. **Exclusion Criteria Check**: While the study doesn't fall under the specific exclusion categories listed (conference abstract, review article, case report, ICI-DILI, PBC/PSC), it fails to meet the fundamental inclusion criteria of being about autoimmune hepatitis.

5. **Abstract Availability**: The abstract is not available, but the title is sufficiently clear about the disease focus (SLE) to make a determination.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T07:24:04.485668
171,Accelerated Progression of Hepatocellular Carcinoma during Immunosuppressive Therapy with Abatacept for Rheumatoid Arthritis.,,,10.2169/internalmedicine.0843-18,exclude,"Let me evaluate this citation systematically against the inclusion and exclusion criteria:

**Analyzing the title:**
- The study is about ""Accelerated Progression of Hepatocellular Carcinoma during Immunosuppressive Therapy with Abatacept for Rheumatoid Arthritis""
- Abatacept is a CTLA-4-Ig fusion protein that blocks CD80/CD86 interaction with CD28, thereby modulating T-cell activation (related to CTLA-4 pathway, which is one of the checkpoint receptors of interest)
- However, the primary focus appears to be on:
  1. Hepatocellular carcinoma (HCC) - not autoimmune hepatitis (AIH)
  2. Rheumatoid arthritis treatment - not AIH
  3. An adverse event (HCC progression) during immunosuppressive therapy

**Checking against inclusion criteria:**
1. Original research article - unclear from title alone, but likely a case report given the specific clinical scenario described
2. Studies examining CTLA-4 pathway - Yes, Abatacept is CTLA-4 related
3. Studies in AIH patients or animal models - NO - this is about rheumatoid arthritis and HCC
4. Studies comparing AIH to controls - NO
5. Published in English - Unknown but assumed

**Checking against exclusion criteria:**
1. Conference abstract - Unknown
2. Review/editorial/commentary - Unlikely given the specific clinical scenario
3. Case report with <3 patients - Likely a case report based on the title
4. Studies exclusively on checkpoint inhibitor drug-induced liver injury - This appears to be about HCC progression, not AIH or drug-induced liver injury
5. Studies on PBC/PSC without AIH - Not applicable

**Key issues:**
- The study is NOT about autoimmune hepatitis - it's about rheumatoid arthritis and hepatocellular carcinoma
- While it involves a CTLA-4-related drug, the disease context (rheumatoid arthritis, HCC) does not match the review's focus on AIH
- No abstract is available to confirm whether AIH is discussed",anthropic/claude-sonnet-4-5-20250929,2026-01-28T07:24:16.641054
