citation_id,title,authors,year,doi,journal,aih_diagnostic_criteria,aih_sample_size,aih_subtype,animal_model,animal_strain,cell_populations,conflicts_of_interest,control_sample_size,control_type,correlation_disease_activity,country,expression_direction,findings_summary,first_author,functional_impairment,funding_source,genetic_analysis,genetic_association,ligands_studied,methods_expression,methods_functional,overall_quality,proposed_mechanism,publication_year,qa_comparability_matching,qa_comparability_treatment,qa_outcome_blinding,qa_outcome_methods,qa_sample_size,qa_selection_aih_diagnosis,qa_selection_controls,receptors_studied,sample_type,species,study_design,therapeutic_implications,therapeutic_implications_detail,treatment_status
301,Anti-programmed cell death-1 antibody as a new serological marker for type 1 autoimmune hepatitis.,,,10.1111/jgh.12340,,IAIHG revised,52,Type 1 AIH,,,Activated lymphocytes; PBMCs,not reported,127,DILI; Acute viral hepatitis; PSC; Healthy volunteers,Yes,Japan,Increased (anti-PD-1 antibodies),"PD-1: Serum anti-PD-1 antibodies (IgG isotype) were detected in 63% of type 1 AIH patients versus 8% DILI, 13% AVH, 18% PSC, and 3% healthy volunteers (P<0.0001). Titers were significantly higher in AIH (0.101 OD630nm) compared to DILI (0.044), AVH (0.062), PSC (0.037), and healthy controls (0.033). In AIH patients, anti-PD-1 antibody titers correlated with serum bilirubin (r=0.31, P=0.030), AST (r=0.29, P=0.042), and ALT (r=0.31, P=0.027) but not with IgG levels (r=0.12, P=0.40). Higher titers in patients with acute hepatitis histology versus chronic hepatitis (P=0.016). Anti-PD-1 antibody positivity associated with later normalization of ALT after prednisolone treatment (P=0.024) and higher relapse rate (66% vs 31%, P=0.027). AUC for discrimination: AIH vs DILI 0.88, AIH vs AVH 0.79, AIH vs PSC 0.80, AIH vs healthy 0.93.",Matsumoto,Not tested,,,Not tested,,Western blot; Co-immunoprecipitation; ELISA,,"Moderate to Good - Clear diagnostic criteria, treatment-naive samples, multiple control groups, and validated methods. Limitations include lack of matching for demographics, no blinding reported, and no functional validation of antibody effects.","Anti-PD-1 antibodies may interfere with PD-1-mediated immune regulation, leading to activation of autoreactive T cells and impaired regulatory T cell function, contributing to AIH pathogenesis. The dysfunction of PD-1 may activate autoreactive T cells and result in development of autoimmune disease.",2014,"Partial - Age and sex differed significantly between groups (P=0.026 and P<0.0001 respectively), no matching or adjustment reported",Yes - Treatment-naive samples obtained before corticosteroid initiation,Not reported,Yes - Validated methods (ELISA with confirmatory Western blot and co-immunoprecipitation),"Moderate - 52 AIH patients, adequate for primary analysis but some subgroup analyses had small numbers",Yes - IAIHG revised scoring system used,"Yes - Multiple appropriate control groups including disease controls (DILI, AVH, PSC) and healthy volunteers",PD-1,Serum; Peripheral blood mononuclear cells,Human,Cross-sectional case-control study,False,,Treatment-naive (before initiation of prednisolone)
201,Association of CTLA4 single nucleotide polymorphisms with viral but not autoimmune liver disease.,,,10.1097/MEG.0b013e3282efa240,,,127,,,,,none,202,Healthy controls,,Germany,,"CTLA4 genetic polymorphisms -318C>T and +49A>G were analyzed. For the -318C>T variant: frequency of -318T allele carriers in AIH was 25.2% vs 25.7% in controls (P>0.05, not significant). Underrepresentation of -318T was found in chronic HBV infection (14.6% vs 25.7%, P=0.002) and cryptogenic cirrhosis (12.0% vs 25.7%, P=0.014). For the +49A>G variant: frequency of +49G allele carriers in AIH was 67.7% vs 61.4% in controls (P=0.403, not significant); in PBC was 67.8% vs 61.4% in controls (P=0.351, not significant). No association was found between +49A>G variation and any diagnosis including AIH and PBC.",Schott,,"German Competence Network for Viral Hepatitis (Hep-Net), funded by the German Ministry of Education and Research (BMBF, Grant no. 01 KI 0437); EU-Vigilance network of excellence combating viral resistance (VIRGIL, Project no. LSHM-CT-2004-503359); Sonnenfeld-Stiftung, Berlin, Germany",SNP genotyping; Melting curve analysis,No genetic association of CTLA4 +49A>G variant with AIH or PBC. No association of -318C>T with AIH. Association of -318C>T with chronic HBV infection and cryptogenic cirrhosis (underrepresentation of -318T allele).,,,,"Moderate - Large sample size and validated methods are strengths. Weaknesses include age difference between controls and patients, lack of specified AIH diagnostic criteria, no reporting of treatment status or blinding, and younger control group.","CTLA4 is an inhibitory receptor on activated and regulatory T cells. The -318C>T variation may favor upregulation of CTLA4 upon T-cell activation. +49G variant correlates with reduced soluble CTLA4 mRNA, less efficient upregulation upon activation, and decreased regulatory T cells. Authors suggest CTLA4 variations may influence susceptibility to infectious vs autoimmune diseases in opposite directions.",2007,Partial - age difference between controls (mean 25 years) and patient groups (mean 48.5-60.5 years). Sex distribution reported but not matched.,Not reported,Not reported,Yes - validated genotyping method (melting curve analysis with FRET probes),"Yes - large sample size overall (2366 patients, 202 controls), though AIH subgroup moderate (n=127)",Unclear - diagnostic criteria not specified,Yes - healthy control group included,CTLA4,DNA from blood,Human,Case-control genetic association study,False,,
150,Association of cytotoxic T-lymphocyte antigen 4 gene polymorphisms with type 1 autoimmune hepatitis in Japanese.,,,10.1111/j.1872-034X.2008.00337.x,,IAIHG revised,76,Type 1,,,,none,100,Healthy controls,Yes - CTLA4-1722 polymorphism associated with disease severity markers,Japan,No change,"CTLA4: No significant association between CTLA4 polymorphisms at positions -1722, -318, +49, and +6230 and type 1 AIH susceptibility in Japanese patients. The -1722T/T genotype frequency was decreased in AIH patients (30%) compared to controls (48%), but this did not reach statistical significance (Pc=0.1). No significant differences in allele, genotype, or haplotype distributions between patients and controls. No association between CTLA4 SNPs and HLA DR4 allele. However, the -1722T/T genotype was associated with milder disease: patients with -1722T/T were younger (median 56 vs 63 years, P=0.01) and had lower serum AST (313 vs 763 IU/L, P=0.031) and bilirubin (1.1 vs 8.6 mg/dL, P=0.027) compared to -1722C/C patients. In females, -1722T/T was associated with younger age (56 vs 68 years) and lower AST (301 vs 799 IU/L) compared to -1722C/C.",Umemura,Not assessed,"Japanese Ministry of Health, Labour and Welfare and the Foundation of Nagano Prefecture for Promoting Science",SNP genotyping; HLA typing; Haplotype analysis,"No association with AIH susceptibility, but CTLA4-1722 polymorphism associated with milder disease presentation",,,,"Good - clear diagnostic criteria, appropriate controls, validated genetic methods, but treatment status not reported and relatively small sample size","CTLA4 is a negative regulator of T-cell responses and is expressed on regulatory T-cells, which are defective in AIH patients. Authors suggest the -1722T/T polymorphism may be implicated in milder disease severity, possibly through effects on hepatocyte or hepatic parenchymal damage.",2008,"Partial - ethnically matched, but sex not fully matched (82% female in AIH vs not reported in controls)",No - treatment status not reported,Partial - blinding reported only for histological evaluation,"Yes - TaqMan SNP genotyping assays, validated HLA typing methods",Adequate for genetic association study but authors acknowledge small sample size as limitation,Yes - IAIHG scoring system used,Yes - 100 ethnically matched healthy controls,CTLA4,Genomic DNA,Human,Case-control,False,,Not reported
262,Astaxanthin Alleviates Autoimmune Hepatitis by Modulating CD8(+) T Cells: Insights From Mass Cytometry and Single-Cell RNA Sequencing Analyses.,,,10.1002/advs.202403148,,ConA-induced model (simulating AIH),10,,ConA-induced autoimmune hepatitis,C57BL/6,CD8+ T cells; CD4+ T cells; NK cells; Neutrophils; Monocyte-derived macrophages (MoMFs); Kupffer cells; Conventional dendritic cells (cDCs); B cells; DNT cells; Gamma delta T cells; ILCs; NKT cells; DPT cells; pDCs; Basophils,none,10,Normal/healthy control,"Yes, functional markers CD69, MHC II, and PD-1 expression correlated with treatment response",China,Decreased,"PD-1: PD-1 expression was significantly downregulated on CD8+ T cells after ASX treatment in the ConA+ASX group compared to the ConA group (mass cytometry analysis, p<0.001). This was observed in the intrahepatic compartment. The downregulation of PD-1, along with CD69 and MHC II, suggests modulation of CD8+ T cell activation status and function by ASX treatment. Specific CD8+ T cell subclusters (4, 13, 24, 27) showed distinct phenotypic changes with ASX treatment.",He,"Yes, ASX treatment led to functional modulation of CD8+ T cells with decreased expression of activation markers and reduced cytokine secretion (IFNg, IL-6, IL-2)","Leading Talents of Zhongyuan Science and Technology Innovation (214200510027), Henan Medical Science and Technology Research Plan (SBGJ202102117), Outstanding Foreign Scientist Studio in Henan Province (GZS2020004), and Science and technology innovation team in Henan Higher Education Institutions (24IRTSTHN038)",Transcriptomic profiling; Differential gene expression analysis; Transcription factor network analysis,,,Mass cytometry; Single-cell RNA sequencing (scRNA-seq),Cytokine array; Cell-to-cell communication network analysis,"Good - Well-designed animal study with appropriate controls, validated methods, and adequate sample sizes, though blinding not reported","ASX alleviates liver damage by modulating the number and function of CD8+ T cells. ASX treatment increases CD8+ T cell numbers while downregulating activation markers (CD69, MHC II, PD-1) and reducing pro-inflammatory cytokine production (IFNg, IL-6). ASX specifically affects different CD8+ T cell subclusters, altering their marker gene expression and cytokine profiles. The mechanism involves regulation of transcription factors and modification of cell-cell interactions between CD8+ T cells and other immune cells (particularly MoMFs).",2024,Not applicable - animal study with randomization,Adequate - treatment status clearly defined (ASX vs no ASX),Not reported,"Adequate - validated methods (mass cytometry, scRNA-seq) used","Adequate - n=10 per group for main analyses, n=6 per group for mass cytometry and scRNA-seq",Adequate - ConA-induced model is an established experimental model for AIH,Adequate - appropriate control group included,PD-1,Liver tissue; Serum,Mouse,Animal model study,True,"The authors propose ASX as a novel therapeutic strategy for restoring immune function in AIH. ASX treatment effectively alleviated liver injury by regulating CD8+ T cell populations, downregulating activation markers, and reducing pro-inflammatory cytokine production. The study suggests ASX could be used to modulate the immune microenvironment in AIH through targeting CD8+ T cell function.",ASX-treated vs untreated ConA groups
177,CTLA-4/CD 28 region polymorphisms in children from families with autoimmune hepatitis.,,,10.1016/s0198-8859(01)00344-5,,International Autoimmune Hepatitis Group criteria,32,"Type 1 AIH (21 patients), Type 2 AIH (11 patients)",,,,not reported,34,unaffected siblings,,"Canada, France, Argentina",Not applicable - genetic study,"CTLA-4 gene polymorphisms:

1. (AT)8 microsatellite allele (3'UTR): Significantly increased transmission from heterozygous parents to type 1 AIH offspring (87.5% vs 50% expected, p=0.002; vs 50.0% unaffected offspring, p=0.009). Overall AIH showed 68.7% transmission vs 41.3% in unaffected (p=0.03). No association in type 2 AIH (50% transmission).

2. A allele (exon 1 position 49): Significantly increased transmission to type 1 AIH offspring (83.5% vs 50% unaffected, p=0.02). Overall AIH showed 62.5% transmission. No association in type 2 AIH (35.7% transmission).

3. A-(AT)8 haplotype: Significantly increased transmission to type 1 AIH (75% vs 38.5% unaffected, p=0.015; overall p=0.02). No association in type 2 AIH (42% transmission).

4. Strong linkage disequilibrium observed between (AT)8 and A alleles (D=0.14, χ²=46.17, p<0.0001).

5. CD28 gene polymorphisms [C/T intron 3, (CAA)n repeat] and D2S72 marker: No association with either type 1 or type 2 AIH.",Djilali-Saiah,,"ALFEDIAM, Sainte-Justine Research Center, Canadian Liver Foundation, MRC (MT-15659)",Transmission disequilibrium test (TDT); PCR-RFLP; Microsatellite genotyping; Linkage disequilibrium analysis,Yes - CTLA-4 (AT)8 and A alleles associated with type 1 AIH susceptibility but not type 2 AIH,,,,"Good - Well-designed family-based study with appropriate controls and validated methods, though sample size is modest particularly for subgroup analyses","CTLA-4 may contribute to type 1 AIH susceptibility by regulating T-cell activation and potentially influencing the balance between Th1 and Th2 cell differentiation. CTLA-4 delivers negative signals for T-cell activation upon binding B7 molecules. The microsatellite polymorphism in 3'UTR could affect RNA stability. Alternatively, CTLA-4 polymorphisms may be markers in linkage disequilibrium with other susceptibility genes in the chromosome 2q33 region.",2001,Yes - family-based design inherently controls for population stratification and genetic background,Not reported,Not reported,"Yes - validated molecular methods (PCR-RFLP, microsatellite genotyping)","Moderate - 32 affected offspring from 32 families, but stratification by AIH type reduced power (21 type 1, 11 type 2)",Yes - International Autoimmune Hepatitis Group criteria used,Yes - unaffected siblings from same families used as controls,CTLA-4,DNA,Human,Family-based genetic association study,False,,
217,Chronically inflamed livers up-regulate expression of inhibitory B7 family members.,,,10.1002/hep.23173,,Clinical/histological (not explicitly specified),14,,,,CD3+ T lymphocytes; Kupffer cells; Liver sinusoidal endothelial cells (LSECs); Hepatocytes; Leukocytes,not reported,19,Normal histology controls; Liver transplant donors; Patients with elevated liver enzymes but lacking pathologies,"Yes, PD-1, B7-H1, and B7-DC expression levels positively correlated with HAI (histology activity index) scores",United States,Increased,"PD-1: Increased expression on intrahepatic lymphocytes in AIH compared to normal livers. Statistically significant increase in portal region (p<0.001) and lobular region (p<0.001 vs normal). Expression detected on lymphocytes in both portal/periportal and lobular regions, with cytoplasmic and membranous localization.

B7-H1 (PD-L1): Increased expression on Kupffer cells, LSECs, and leukocytes in AIH livers. Statistically significant increase in portal region on all three cell types (p<0.001-0.0489). Lobular region showed significant increase only in AIH patients among chronic liver diseases. Also detected on hepatocytes in some biopsies and cultured hepatocytes (inducible by IFN-gamma).

B7-DC (PD-L2): Significantly up-regulated throughout the liver in AIH patients compared to normal controls (p<0.001-0.0093). Expressed on Kupffer cells, LSECs, leukocytes, and biliary epithelium. Occasionally detected on hepatocytes in AIH biopsies. Primary cultured hepatocytes express B7-DC basally and strongly up-regulate with IFN-gamma stimulation.

MHC Class I: Hepatocytes and leukocytes in AIH livers demonstrate statistically significant increases compared to normal patients (p<0.0007-0.0486). Expression on Kupffer cells and LSECs did not change with disease state. Constitutive and inducible expression confirmed in cultured hepatocytes.

CD3: Increased numbers of CD3+ lymphocytes in AIH livers in both portal/periportal and lobular regions (p<0.0001).

Expression levels of PD-1, B7-H1, and B7-DC correlated with HAI (histology activity index) scores: r²=0.573, 0.480, and 0.532 respectively (all p<0.001).",Kassel,Not directly assessed in this study,"NIH Grants (DK066754, U19AI066328 to YSH) and Training Fellowships (MSTP 5-T32-GM007267, Infectious Disease 5-T32-AI007046 to RK)",,,B7-H1 (PD-L1); B7-DC (PD-L2); B7-H3,Immunohistochemistry (IHC); Immunocytochemistry (ICC); Flow cytometry; qRT-PCR,,"Moderate - Strengths include blinded assessment, multiple control comparisons, and validated methods. Limitations include lack of treatment status reporting, no explicit AIH diagnostic criteria, and no matching for confounders.","The PD-1 pathway may assist the liver in protecting itself from immune-mediated destruction. Authors propose that ligation of PD-1 potentially provides the inflamed liver means to dampen the immune response. PD-1 ligand expression by Kupffer cells, LSECs, leukocytes, and hepatocytes may modulate leukocyte activity and limit CD8+ T cell effector functions. Expression of PD-1/PD-1 ligands links more directly with the degree of inflammation than with the underlying etiology of liver damage. Inflammation-induced IFN-gamma may drive expression of B7-H1 and B7-DC in an antigen-independent manner, providing a feedback mechanism to control immune responses.",2009,Not reported - no mention of matching or adjustment for age and sex,Poor - treatment status at sampling not reported or controlled,Good - blinded analyses performed by two pathologists with excellent concordance,Good - validated immunohistochemistry methods used with appropriate controls,"Moderate - AIH n=14, adequate for exploratory study but not justified a priori",Partially adequate - AIH diagnosis mentioned but specific diagnostic criteria not explicitly stated,Adequate - appropriate normal histology controls included,PD-1,Liver biopsies; Isolated primary hepatocytes; Hepatoma cell lines,Human,Cross-sectional study,True,"Authors suggest PD-1 immunotherapy as a potential treatment approach. They note that anti-PD-1 monoclonal antibody therapy recently entered human clinical trials with lack of significant side effects in phase 1. Authors propose that such therapy could improve clearance of HBV and HCV and regulate autoimmune responses in AIH. However, they also caution that blocking PD-1 may be detrimental during chronic inflammation, suggesting that PD-1 agonists may prove beneficial rather than antagonists. Authors emphasize the need to carefully balance immune activation versus protection from immune-mediated liver damage.",Not reported
294,Comprehensive analysis of immune signatures in primary biliary cholangitis and autoimmune hepatitis.,,,10.1093/jleuko/qiae085,,Recognized criteria (reference 15: APASL clinical practice guidance),18,,,,CD3+ T cells; CD4+ T cells; CD8+ T cells; γδ T cells; Vδ1 T cells; Vδ2 T cells; CD19+ B cells; NK cells; NKT cells; Regulatory T cells (Treg); T follicular helper (Tfh) cells; Tfh1; Tfh2; Tfh17; Th1; Th2; Th17; Naive T cells; Central memory T cells (TCM); Effector memory T cells (TEM); Terminally differentiated T cells (TEMRA),none,43,Healthy controls,Yes,China,"Increased expression of TIM-3, LAG-3 on multiple T cell subsets; decreased CD28; increased senescence and activation markers in AIH vs controls","**PD-1**: No significant change in AIH vs HC on total T, CD4+ T, or CD8+ T cells (p>0.05). Increased on Vδ1 T cells in PBC vs HC (p<0.0001). No direct AIH-specific findings reported.

**TIM-3**: Increased on total T cells (CD3+) in AIH vs HC (p<0.001), increased on CD4+ T cells (p<0.001), increased on CD8+ T cells (p<0.05), increased on γδ T cells (p<0.01). All increases are in peripheral blood. Positive correlation with AST/ALT levels in AIH. TIM-3+ CD8+ T cells correlated with severity.

**LAG-3**: Increased on total T cells (CD3+) in AIH vs HC (p<0.0001), increased on CD4+ T cells (p<0.01), increased on CD8+ T cells (p<0.01), increased on Vδ1 T cells (p<0.05). All increases are in peripheral blood. LAG-3+ CD4+ T cells positively associated with AST/ALT and cholinesterase levels. LAG-3 expression on CD3+ cells was higher in AIH than PBC (p<0.05).

**TIGIT**: No significant change on total T, CD4+ T, or CD8+ T cells in AIH vs HC. TIGIT+ T cell subsets (CD4+, CD8+, γδT, Vδ1, Vδ2) positively correlated with globulin or IgG levels in AIH. TIGIT+ Vδ2 T cell frequency positively correlated with IgG levels. TIGIT+Vδ2T frequency emerged as an independent marker differentiating PBC from AIH (OR 0.917, p=0.022) with AUC 0.780.

**CD28**: Decreased on CD4+ T cells in AIH vs HC (p<0.01), decreased on CD8+ T cells (p<0.0001), peripheral blood.

**CD57**: Increased CD8+CD28-CD57+ senescent T cells in AIH vs HC (p<0.001), peripheral blood.

**CD38/HLA-DR**: Increased CD38+HLA-DR+CD8+ T cells in AIH vs HC (p<0.0001), peripheral blood, indicating activation or exhaustion.

**NKP46**: NKP46+ NK cell frequency positively correlated with ALT and AST levels in AIH (peripheral blood).

**Overall**: AIH characterized by increased expression of TIM-3 and LAG-3 across multiple T cell subsets, decreased CD28 expression, increased senescent CD8+ T cells, and activation/exhaustion markers. TIGIT expression on T cells associated with disease markers (globulin, IgG). NKP46+ NK cells correlated with liver enzymes.",Yang,"Yes, evidence of T cell exhaustion and senescence","National Natural Science Foundation of China (82070574, U1501224, 31570898, and 32370921), the Basic and Applied Basic Research Fund of Guangdong Province (2020A1515111203), the Natural Science Foundation of Guangdong Province (2016A030313112), and the Guangdong Basic and Applied Basic Research Foundation (2021A1515010420)",,,,Flow cytometry,Plasma cytokine quantification,"Moderate to Good. Strengths: clearly defined diagnostic criteria, appropriate controls, validated methods, treatment status reported, comprehensive immunophenotyping. Limitations: relatively small AIH sample size (n=18), no blinding reported, no sample size justification, cross-sectional design, predominantly female cohort limits generalizability.","Authors propose that increased expression of immune checkpoint receptors (TIM-3, LAG-3) on T cells reflects T cell overactivation leading to exhaustion and senescence in AIH. TIGIT expression on T cells associated with globulin/IgG levels suggests involvement in immune dysregulation. The imbalance between hyperactivated effector T cells and compromised regulatory T cells, combined with checkpoint receptor upregulation, contributes to excessive inflammatory milieu and hepatocyte injury in AIH.",2025,"Partial, groups were age-matched (no significant difference, p=0.166), and predominantly female (18/18 AIH, 34/43 HC, p=0.088)","Yes, treatment status reported (6/18 or 33.33% on treatment)",Not reported,"Yes, validated flow cytometry methods used","Limited, AIH n=18, but no formal sample size justification provided","Yes, recognized APASL criteria used (reference 15)","Yes, healthy controls included",PD-1; TIM-3; TIGIT; LAG-3; CD28; CD57; CD38; HLA-DR; NKP30; NKP46; NKG2D,Peripheral blood; Plasma,Human,Cross-sectional observational study,False,"Authors acknowledge complexity of checkpoint receptor targeting in autoimmune diseases, citing examples where PD-1 blockade exacerbated autoimmune conditions, but do not explicitly propose therapeutic targeting in this study.",Mixed (6/18 or 33.33% on treatment at sampling)
242,Cutting edge: chronic inflammatory liver disease in mice expressing a CD28-specific ligand.,,,10.4049/jimmunol.1202621,,,,,"Transgenic mice expressing anti-CD28 single chain Fragment variable (αCD28 scFv) on B7-1, B7-2 double-deficient background",C57BL/6,CD8+ T cells; CD4+ T cells; CD11c+ dendritic cells; CD3+ T cells; Natural killer T cells,none,,"B7-1, B7-2 double knockout mice; C57BL/6 wild-type mice","Yes, elevated liver enzymes (ALT/AST) correlated with liver inflammation and fibrosis; IFN-γ production by CD8+ T cells associated with disease severity",USA,Increased CD28 costimulation (through scFv ligand); absence of CTLA-4 inhibition,"CD28: The αCD28 scFv transgenic mice spontaneously developed chronic inflammatory liver disease when the natural CD28/CTLA-4 ligands B7-1 and B7-2 were absent. This allowed selective CD28 engagement without CTLA-4 inhibition. The mice exhibited: (1) Elevated serum ALT and AST (liver enzymes) with normal alkaline phosphatase and bilirubin (p<0.001); (2) Periportal lymphocytic inflammation, single cell necrosis, oval cell hyperplasia, and portal-based fibrosis in liver histology; (3) 5-fold increase in absolute numbers of liver CD8+ T cells compared to B7-1, B7-2 DKO controls (31% vs 11% of total liver leukocytes, p<0.0001); (4) Nearly 2-fold increase in percentage of IFN-γ-secreting CD8+ T cells in liver (>8-fold increase in absolute numbers, p<0.0001); (5) Enrichment of Vβ8.1/8.2+ CD8+ T cells specifically in liver (29.1% vs 15.8% in controls) but not in spleen, suggesting liver-specific T cell response; (6) CD8+ T cell depletion minimized lymphocytic infiltration and fibrosis. The functional αCD28 scFv ligand enhanced T cell proliferation in vitro. No changes in CD4+ T cells or natural killer T cells were observed in liver. The model recapitulates several features of human autoimmune hepatitis including elevated transaminases, lymphocytic inflammation, and fibrosis.",Corse,"Yes, imbalanced CD28/CTLA-4 pathway - selective CD28 engagement without CTLA-4 inhibition led to breakdown of liver tolerance and inflammatory disease",Howard Hughes Medical Institute and National Institutes of Health,TCR Vβ repertoire analysis,Human CTLA-4 gene polymorphisms are associated with AIH and primary biliary cirrhosis (cited but not directly studied in this mouse model),Anti-CD28 scFv ligand; B7-1; B7-2,Flow cytometry; Immunohistochemistry; CD28-Fc staining,Ex vivo PMA/ionomycin stimulation; Intracellular IFN-γ staining; In vitro T cell proliferation assay; TCR Vβ repertoire analysis; CD8+ T cell depletion,"Good - well-controlled animal model study with appropriate controls, multiple complementary methods, adequate sample sizes, and statistical analysis. Limitations include lack of blinding and male-only analysis. Model successfully recapitulates key features of human AIH.","Engagement of CD28 in the absence of CTLA-4-mediated inhibition lowers the threshold for T cell reactivity in the normally tolerant liver microenvironment, leading to CD8+ T cell-mediated inflammatory liver disease. IFN-γ-producing CD8+ T cells mediate autoimmune cytotoxicity in chronic disease state. Imbalanced costimulation disrupts hepatic immune tolerance.",2013,Yes - age-matched mice (3-8 months) used; sex controlled (only males analyzed),"N/A - spontaneous disease model, no treatment administered",Not reported,"Yes - validated methods including flow cytometry, immunohistochemistry, standard liver chemistry panels, histological staining","Yes - adequate numbers per group (n=11 for histology, multiple mice for functional assays); statistical analysis performed with appropriate tests","N/A - animal model study, not human AIH patients","Yes - appropriate littermate controls (B7-1, B7-2 DKO) and wild-type C57BL/6 controls included",CD28; CTLA-4,Liver tissue; Serum; Spleen tissue; Liver-infiltrating leukocytes,Mouse,Animal model study,True,The model suggests that therapeutic modulation of the CD28/CTLA-4 checkpoint pathway could be beneficial in autoimmune hepatitis. The association between CTLA-4 polymorphisms and human AIH supports CTLA-4 as a potential therapeutic target. The model will facilitate evaluation of CD8+ T cell-directed therapies and checkpoint modulation strategies for AIH-like pathologies.,
174,Cytotoxic T lymphocyte antigen-4 +49A/G polymorphism does not affect susceptibility to autoimmune hepatitis.,,,10.1111/liv.12157,,IAIHG revised,672,"Type 1 (485 ANA/SMA positive), Type 2 (20 LKM-1 positive)",,,,none,500,Healthy controls,"No - no association between genotype and ALT levels, IgG levels, fibrosis, cirrhosis, or treatment response",The Netherlands,,"CTLA-4: The CTLA-4 +49A/G polymorphism (rs231775) showed no significant association with AIH susceptibility. Allele frequencies: G allele 40% in AIH patients vs 39% in controls (P=0.7). Genotype frequencies: AA 36% vs 38%, AG 49% vs 47%, GG 15% vs 15% (P=0.8) in patients vs controls. Analysis of type-1 AIH patients (n=485) showed similar results (AA 37% vs 38%, AG 47% vs 47%, GG 16% vs 15%, P=1.0). Type-2 AIH patients (n=20) also showed no significant difference (P=0.4). No association between genotype and disease activity markers (ALT, IgG levels), autoantibody profile, fibrosis/cirrhosis at diagnosis, or treatment response. Both patient and control genotypes were in Hardy-Weinberg equilibrium.",van Gerven,,Netherlands Organization for Scientific Research (NWO award: 184021007) and Biobanking and Biomolecular Research Infrastructure Netherlands (BBMRI-NL),PCR (Taqman Assay); Whole genome sequencing,No - the CTLA-4 +49A/G polymorphism is not associated with AIH susceptibility or disease severity in this Caucasian population,,,,"Good - large well-defined patient cohort with established diagnostic criteria, appropriate controls, validated genotyping methods, and comprehensive statistical analysis. Limitations include lack of reported blinding and incomplete information on matching and treatment timing","Authors note that the +49A/G SNP results in amino acid substitution (Threonine to Alanine at position 17) associated with lower CTLA-4 expression/function, but found no evidence this contributes to AIH pathogenesis in Caucasians",2013,Not reported - age and sex matching not explicitly described,"Partially - treatment status reported (90% received prednisone, 481 received azathioprine) but timing of DNA sampling relative to treatment not specified",Not reported,"Yes - PCR with Taqman assay for patients, whole genome sequencing for controls; validated methods","Yes - largest AIH cohort studied for this polymorphism (n=672), adequately powered to detect association","Yes - IAIHG diagnostic criteria used, median score 18 (IQR 15-20), clinical and biochemical parameters assessed, viral hepatitis excluded",Yes - 500 healthy controls from Genome of the Netherlands project,CTLA-4,Genomic DNA from peripheral blood mononuclear cells,Human,Case-control genetic association study,False,,Mixed - 90% received prednisone induction therapy; 481 received azathioprine maintenance therapy
245,Cytotoxic T lymphocyte antigen-4 gene polymorphisms and susceptibility to type 1 autoimmune hepatitis in the Tunisian population.,,,10.1016/j.gendis.2017.12.006,,IAIHG revised,50,"Type 1 AIH (96%), Type 2 AIH (4%)",,,,none,100,Healthy controls,No,Tunisia,Not assessed,"CTLA-4 +49A>G (rs231775): GG genotype significantly higher in AIH patients vs controls (28% vs 9%, p=0.003, OR=3.93 [1.56-9.88]). G allele more frequent in AIH patients (52% vs 37.5%, p=0.018, OR=1.80 [1.11-2.93]). A allele more frequent in controls (62.5% vs 48%, p=0.018, OR=0.55 [0.34-0.90]). CTLA-4 CT60 G>A (rs3087243): A/A genotype significantly higher in controls vs AIH patients (22% vs 8%, p=0.039, OR=0.30 [0.1-0.95]), suggesting protective effect. CTLA-4 -318C>T (rs5742909): No significant differences in genotype or allele distribution between AIH patients and controls.",Chaouali,Discussed in literature review but not directly assessed,"Northern Portugal Regional Operational Programme (NORTE 2020), Portugal 2020 Partnership Agreement, European Regional Development Fund (FEDER), Fundação para a Ciência e Tecnologia (FCT)",KASP genotyping; SNP analysis,Yes - CTLA-4 +49 GG genotype associated with AIH susceptibility; CT60 A/A genotype protective,,,,"Moderate - Good diagnostic criteria, appropriate controls, validated genotyping method, but relatively small sample size and no blinding reported","CTLA-4 +49 A>G polymorphism (Thr17Ala substitution) may affect CTLA-4 protein expression and function, leading to diminished inhibitory effects on T cell proliferation and hyperactivity. Deficient CTLA-4 function could contribute to development of autoreactive T-cell responses and trigger autoimmune response in AIH pathogenesis.",2018,Yes - controls matched for gender and age with AIH cases,Not reported,Not reported,"Yes - KASP genotyping technology, validated method","Moderate - 50 AIH patients, 100 controls. Authors suggest larger studies needed","Yes - International AIH Group criteria with scoring calculator (score >15 definite, 10-15 probable, <10 excluded)",Yes - 100 healthy donors matched for gender and age,CTLA-4,Blood (lymphocytes); Serum,Human,Case-control genetic association study,False,,
