citation_id,title,authors,year,doi,decision,reasoning,model,screened_at,pdf_error
164,+49A/G polymorphism of cytotoxic T-lymphocyte antigen 4 gene in type 1 autoimmune hepatitis and primary biliary cirrhosis: A meta-analysis.,,,10.1111/j.1872-034X.2010.00757.x,exclude,"Let me evaluate this article against the inclusion and exclusion criteria:

**Checking Inclusion Criteria:**

1. **Original research articles**: This is a meta-analysis, which involves systematic analysis of original research but is not itself original primary research generating new data.

2. **Studies examining expression, function, or genetic variants of checkpoint receptors**: Yes - this examines CTLA-4 genetic variants (+49A/G polymorphism)

3. **Studies in patients with autoimmune hepatitis or animal models**: Yes - includes type 1 AIH patients

4. **Studies comparing AIH to healthy controls or other liver disease controls**: Yes - the meta-analysis includes studies with healthy controls

5. **Published in English**: Yes

**Checking Exclusion Criteria:**

1. **Conference abstracts without full text**: No - this is a full paper
2. **Review articles, editorials, commentaries, letters without original data**: **YES - This is a meta-analysis/review article**. While meta-analyses systematically analyze original data from other studies, they do not present new original data themselves. This is explicitly an exclusion criterion.
3. **Case reports with fewer than 3 patients**: No
4. **Studies exclusively on checkpoint inhibitor drug-induced liver injury**: No
5. **Studies on PBC or PSC without AIH comparison**: No - it includes AIH

**Critical Issue:**
The article is a meta-analysis, which falls under ""review articles"" in the exclusion criteria (#2). The protocol specifically states exclusion of ""Review articles, editorials, commentaries, letters without original data."" Meta-analyses, while valuable, synthesize existing data rather than generating original data.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T11:45:50.776083,
210,A murine model of type 2 autoimmune hepatitis: Xenoimmunization with human antigens.,,,10.1002/hep.20109,uncertain,PDF not available for full-text screening,anthropic/claude-sonnet-4-5-20250929,2026-01-28T11:45:50.778026,PDF not found
301,Anti-programmed cell death-1 antibody as a new serological marker for type 1 autoimmune hepatitis.,,,10.1111/jgh.12340,include,"1. **Study Type**: This is an original research article examining the presence and clinical significance of anti-PD-1 antibodies in human patients with autoimmune hepatitis and other liver conditions.

2. **Checkpoint Receptor Coverage**: The study examines PD-1 (programmed cell death-1), which is specifically listed as one of the checkpoint receptors of interest in the inclusion criteria.

3. **Patient Population**: The study includes:
   - 52 type 1 autoimmune hepatitis (AIH) patients
   - Comparison groups: 24 DILI patients, 30 acute viral hepatitis patients, 11 PSC patients, and 62 healthy volunteers
   - This meets the requirement for studies comparing AIH to healthy controls or other liver disease controls

4. **Study Focus**: The research investigates:
   - Expression of anti-PD-1 antibodies in serum
   - Association with clinical characteristics of type 1 AIH
   - Diagnostic utility for discriminating AIH from other conditions
   - Association with disease activity and treatment response

5. **Original Data**: The article presents original experimental data using ELISA, Western blot, co-immunoprecipitation, and clinical correlations with laboratory parameters and treatment outcomes.

6. **Exclusion Criteria Check**:
   - This is a full-text article (not just an abstract)
   - It is not a review, editorial, or commentary
   - It includes more than 3 patients (52 AIH patients)
   - It is not exclusively about checkpoint inhibitor drug-induced liver injury (ICI-DILI); it studies spontaneous autoimmune hepatitis
   - While PSC is included as a control group, the focus is on AIH comparison

7. **Language**: Published in English",anthropic/claude-sonnet-4-5-20250929,2026-01-28T11:46:04.384376,
201,Association of CTLA4 single nucleotide polymorphisms with viral but not autoimmune liver disease.,,,10.1097/MEG.0b013e3282efa240,include,"This article investigates CTLA4 single nucleotide polymorphisms (-318C>T and +49A>G) in a large cohort of 2366 patients with various chronic liver diseases. Let me evaluate it against the inclusion and exclusion criteria:

**Checking Inclusion Criteria:**

1. ✓ Original research article - Yes, this is original research with human subjects
2. ✓ Studies examining CTLA-4 - Yes, examines genetic variants of CTLA-4
3. ✓ Studies in patients with AIH - Yes, includes 127 patients with autoimmune hepatitis
4. ✓ Studies comparing AIH to controls - Yes, compares AIH patients to 202 healthy controls and to other liver disease groups
5. ✓ Published in English - Yes

**Checking Exclusion Criteria:**

1. ✗ Conference abstract without full text - This is a full-text article
2. ✗ Review article/editorial/commentary - This is original research
3. ✗ Case report with fewer than 3 patients - This is a cohort study with 127 AIH patients
4. ✗ Studies exclusively on checkpoint inhibitor drug-induced liver injury - This is about genetic polymorphisms, not drug-induced injury
5. ✗ Studies on PBC or PSC without AIH comparison - While it includes PBC (180 patients) and PSC (70 patients), it also includes AIH patients and makes comparisons

**Key Findings Relevant to Review:**

The study found NO association of the +49G>A variation with autoimmune hepatitis (67.7% vs 62.3% controls, P=0.222) or primary biliary cirrhosis (67.8% vs 62.1%, P=0.149). The findings were negative for the association between CTLA4 polymorphisms and autoimmune liver disease, contrary to some earlier published studies.

This is highly relevant to the systematic review as it provides important negative findings regarding CTLA4 genetic variants in AIH pathogenesis from a large cohort.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T11:46:18.436926,
150,Association of cytotoxic T-lymphocyte antigen 4 gene polymorphisms with type 1 autoimmune hepatitis in Japanese.,,,10.1111/j.1872-034X.2008.00337.x,include,"This article is evaluating whether it meets the inclusion criteria for a systematic review on inhibitory checkpoint receptors in autoimmune hepatitis.

**Checking Inclusion Criteria:**

1. **Original research article** - ✓ Yes, this is an original research article examining CTLA-4 gene polymorphisms
2. **Studies examining expression, function, or genetic variants of BTLA, CTLA-4, PD-1, TIGIT, VISTA, LAG-3, or CD200R** - ✓ Yes, this study examines CTLA-4 (cytotoxic T-lymphocyte antigen 4) genetic polymorphisms at four SNP positions (-1722, -318, +49, +6230)
3. **Studies in patients with autoimmune hepatitis or animal models of AIH** - ✓ Yes, includes 76 Japanese patients with type 1 AIH diagnosed according to International Autoimmune Hepatitis Group criteria
4. **Studies comparing AIH to healthy controls or other liver disease controls** - ✓ Yes, compares 76 AIH patients with 100 ethnically matched healthy controls
5. **Published in English** - ✓ Yes, published in English in Hepatology Research 2008

**Checking Exclusion Criteria:**

1. Conference abstracts without full text - No, this is a full-text article
2. Review articles, editorials, commentaries, letters without original data - No, this is an original research article
3. Case reports with fewer than 3 patients - No, this has 76 patients
4. Studies exclusively on checkpoint inhibitor drug-induced liver injury (ICI-DILI) - No, this studies genetic susceptibility to AIH
5. Studies on PBC or PSC without AIH comparison - No, this is specifically on AIH

The article presents original genetic data on CTLA-4 polymorphisms in type 1 AIH patients, examining both disease susceptibility and genotype-phenotype correlations. It meets all inclusion criteria and does not meet any exclusion criteria.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T11:46:32.449832,
262,Astaxanthin Alleviates Autoimmune Hepatitis by Modulating CD8(+) T Cells: Insights From Mass Cytometry and Single-Cell RNA Sequencing Analyses.,,,10.1002/advs.202403148,include,"I will systematically evaluate this article against the inclusion and exclusion criteria:

## Study Design and Article Type
- This is a full-text original research article (research article clearly stated)
- Uses both animal models and advanced molecular techniques (mass cytometry and single-cell RNA sequencing)
- Not a review, editorial, commentary, or conference abstract
- Meets inclusion criteria #1 ✓

## Disease Model
- Uses concanavalin A (ConA)-induced autoimmune hepatitis model in mice
- The article explicitly states: ""ConA-induced liver damage is primarily caused by T cell activation and recruitment to the hepatic region, which bears significant resemblances to human AIH""
- This is an animal model of AIH
- Meets inclusion criteria #3 ✓

## Focus of Study
- The study is about Astaxanthin (ASX), a therapeutic compound, NOT about checkpoint inhibitor drug-induced liver injury
- ASX is a carotenoid pigment being tested for its ability to treat AIH
- Does NOT meet exclusion criteria #4 ✓

## Checkpoint Receptors Examined
- **Critical Issue**: I need to carefully review whether any of the specified checkpoint receptors (BTLA, CTLA-4, PD-1, TIGIT, VISTA, LAG-3, CD200R) or their ligands are examined in this study

Looking through the article:
- PD-1 is mentioned: ""the expression of functional markers in CD8+ T cells, such as CD69, MHC II, and PD-1, was significantly downregulated"" (page 2)
- Figure 2C-E shows expression of CD69, MHC II, and **PD-1** in CD8+ T cells
- The study examines PD-1 expression as a functional marker of CD8+ T cells

The study examines **PD-1 expression** in CD8+ T cells in the context of AIH and how ASX treatment affects it.

- Meets inclusion criteria #2 ✓

## Other Criteria
- Published in English ✓
- Studies AIH with appropriate controls ✓
- Original data on checkpoint receptor expression ✓",anthropic/claude-sonnet-4-5-20250929,2026-01-28T11:47:01.610736,
177,CTLA-4/CD 28 region polymorphisms in children from families with autoimmune hepatitis.,,,10.1016/s0198-8859(01)00344-5,include,"This article requires careful evaluation against the inclusion and exclusion criteria:

**Checking Inclusion Criteria:**

1. **Original research article**: YES - This is a family-based genetic study with original data from 32 families with autoimmune hepatitis.

2. **Studies examining CTLA-4**: YES - This is the primary focus. The study examines CTLA-4 polymorphisms (exon 1 A/G and (AT)n microsatellite) in AIH patients. CTLA-4 is explicitly listed as one of the checkpoint receptors of interest.

3. **Studies in AIH patients or animal models**: YES - The study includes 32 children with autoimmune hepatitis (21 with type 1 AIH, 11 with type 2 AIH) from families in Canada and France.

4. **Studies comparing AIH to controls**: YES - The study uses a family-based transmission disequilibrium test (TDT) comparing transmission of alleles from heterozygous parents to affected offspring versus unaffected offspring, which serves as an internal control.

5. **Published in English**: YES - The article is published in Human Immunology in English.

**Checking Exclusion Criteria:**

1. **Conference abstract**: NO - This is a full-text peer-reviewed article.

2. **Review article, editorial, commentary**: NO - This is original research.

3. **Case report with <3 patients**: NO - This study includes 32 affected offspring.

4. **Studies exclusively on ICI-DILI**: NO - This is about spontaneous autoimmune hepatitis, not checkpoint inhibitor drug-induced liver injury.

5. **Studies on PBC or PSC without AIH comparison**: NO - This study focuses exclusively on AIH.

**Key Findings:**
The study found significant association between CTLA-4 polymorphisms [(AT)8 allele and A allele] and type 1 AIH in children, but not type 2 AIH. This represents novel genetic data on a checkpoint receptor in autoimmune hepatitis pathogenesis.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T11:47:16.339330,
217,Chronically inflamed livers up-regulate expression of inhibitory B7 family members.,,,10.1002/hep.23173,include,"Let me evaluate this article step-by-step against the inclusion and exclusion criteria:

1. **Study Type**: This is an original research article examining expression patterns of inhibitory checkpoint molecules in liver biopsies. ✓

2. **Checkpoint Molecules**: The study examines PD-1 and its ligands (B7-H1/PD-L1 and B7-DC/PD-L2), and also examines B7-H3. These are among the checkpoint receptors specified in the inclusion criteria. ✓

3. **Study Population**: The study includes:
   - Patients with autoimmune hepatitis (AIH) - n=14 ✓
   - Patients with chronic HBV (n=11) and HCV (n=17)
   - Patients with NAFLD (n=13)
   - Normal controls (n=19)

4. **AIH Focus**: The study explicitly includes AIH patients and compares them to healthy controls and other liver disease controls. ✓

5. **Expression and Function**: The study examines:
   - Expression patterns of PD-1, B7-H1, B7-DC on various liver cell types
   - Correlates expression with degree of inflammation and liver damage
   - Examines MHC Class I expression (necessary for PD-1 signaling)
   - Investigates cellular locations and modulation by inflammatory conditions ✓

6. **Language**: Published in English ✓

7. **Full Text**: This is a full research article, not an abstract ✓

8. **Exclusion Criteria Check**:
   - Not a conference abstract ✓
   - Not a review article, editorial, or commentary - this is original research ✓
   - Not a case report ✓
   - Not exclusively about checkpoint inhibitor drug-induced liver injury ✓
   - Includes AIH, not exclusively PBC or PSC ✓

The article meets all inclusion criteria and does not meet any exclusion criteria. It provides original data on PD-1 pathway expression in AIH patients compared to controls, examines functional relevance, and investigates potential mechanisms.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T11:47:34.743229,
190,Clinical and Pathological Features of Immune Checkpoint Inhibitor-induced Liver Injury in Comparison with Drug-induced Liver Injury and Autoimmune Hepatitis.,,,10.15403/jgld-5045,exclude,"This article examines immune checkpoint inhibitor (ICI)-related liver injury compared to drug-induced liver injury (DILI) and autoimmune hepatitis (AIH). Let me evaluate it against the inclusion and exclusion criteria:

**Checking Inclusion Criteria:**
1. **Original research article**: Yes, this is an original research study with human patients
2. **Studies examining checkpoint receptors**: The study examines PD-1, CTLA-4, and their ligands (PD-L1) - these are included checkpoint receptors in the review protocol
3. **Studies in AIH patients**: Yes, the study includes patients with autoimmune hepatitis (n=21) as a comparison group
4. **Comparison to controls**: Yes, the study compares AIH patients to ICI-related liver injury and DILI patients
5. **Published in English**: Yes

**Checking Exclusion Criteria:**
1. **Conference abstract**: No, this is a full-text article
2. **Review article/editorial**: No, this is original research
3. **Case reports <3 patients**: No, substantial patient numbers (AIH n=21, ICI-DILI n=15, DILI n=7)
4. **Studies exclusively on ICI-DILI**: This is the critical issue - the study's primary focus is on immune checkpoint inhibitor-induced liver injury (ICI-DILI), which is explicitly listed as an exclusion criterion
5. **PBC/PSC without AIH**: Not applicable

**Critical Analysis:**
The study's main objective is to evaluate ICI-related liver injury and compare it with DILI and AIH. While it includes AIH patients as a comparison group and examines checkpoint inhibitor pathways (PD-1, CTLA-4), the study is fundamentally about checkpoint inhibitor-INDUCED liver injury as an adverse drug reaction, not about whether checkpoint receptors are involved in the pathogenesis of autoimmune hepatitis itself.

The exclusion criterion specifically states: ""Studies exclusively on checkpoint inhibitor drug-induced liver injury (ICI-DILI)."" This study is primarily focused on characterizing ICI-DILI, comparing its features to AIH and other DILI. It does not investigate whether checkpoint receptors play a role in spontaneous AIH pathogenesis.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T11:47:54.266436,
294,Comprehensive analysis of immune signatures in primary biliary cholangitis and autoimmune hepatitis.,,,10.1093/jleuko/qiae085,include,"This article requires careful evaluation against the inclusion and exclusion criteria for the systematic review on inhibitory checkpoint receptors in autoimmune hepatitis.

**Checking Inclusion Criteria:**

1. **Original research article**: Yes - This appears to be an original research article with primary data collection and analysis (flow cytometry, cytokine measurements).

2. **Studies examining expression, function, or genetic variants of specified checkpoint receptors**: YES - The article examines multiple checkpoint receptors including:
   - PD-1 (extensively analyzed in CD4+, CD8+, T cells, and γδT cells)
   - TIGIT (examined across multiple T cell subsets; identified as differential marker)
   - TIM-3 (measured in various T cell populations)
   - LAG-3 (analyzed in CD3+, CD4+, CD8+ T cells)
   - CTLA-4 (mentioned briefly in context)

3. **Studies in patients with AIH or animal models of AIH**: YES - The study includes 18 AIH patients compared to 43 healthy controls and 27 PBC patients.

4. **Studies comparing AIH to healthy controls or other liver disease controls**: YES - AIH patients are compared to both healthy controls (HC) and PBC patients.

5. **Published in English**: YES

**Checking Exclusion Criteria:**

1. **Conference abstracts without full text**: No - This is a full-length published article.

2. **Review articles, editorials, commentaries, letters without original data**: No - This is an original research article.

3. **Case reports with fewer than 3 patients**: No - This includes 18 AIH patients.

4. **Studies exclusively on checkpoint inhibitor drug-induced liver injury (ICI-DILI)**: No - This study examines autoimmune hepatitis pathogenesis, not drug-induced injury.

5. **Studies on PBC or PSC without AIH comparison**: No - While the study includes PBC patients, it DOES include AIH patients and makes direct comparisons between AIH and controls, as well as between AIH and PBC.

**Key Findings Relevant to the Review:**

The article provides substantial data on checkpoint receptor expression in AIH:
- TIM-3 and LAG-3 upregulation on CD3+, CD4+ T, and CD8+ T cells in AIH
- TIGIT expression on T cells associated with globulin levels in AIH
- Comparison of checkpoint receptor expression between AIH and PBC
- TIGIT+Vδ2T cells identified as differential marker between PBC and AIH
- Correlations between checkpoint receptors and clinical parameters in AIH

The article directly addresses the research question about checkpoint receptor involvement in AIH pathogenesis, their expression patterns, and functional associations.",anthropic/claude-sonnet-4-5-20250929,2026-01-28T11:48:17.466022,
